category,action,path,size_bytes,status,message
duplicate,quarantine,D:\C and C++\C++黑马学习\Study\.vs\Study\config\applicationhost.config,83168,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\Study\C初阶\六.结构体\结构体\.vs\结构体\CopilotIndices\18.0.988.22099\SemanticSymbols.db-shm,32768,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\build\CMakeFiles\4.1.2-msvc8\CompilerIdC\CMakeCCompilerId.c,29602,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\build\CMakeFiles\4.3.0-rc1\CompilerIdC\CMakeCCompilerId.c,29602,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\数据结构\比特版\马\Sequence\build\CMakeFiles\4.3.0-rc1\CompilerIdC\CMakeCCompilerId.c,29602,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\数据结构\b站孙老师版\代码(无乱码）\代码\代码\函数\test2,12588,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\数据结构\b站孙老师版\代码(无乱码）\代码\代码\结构体\test5,12556,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\数据结构\比特版\马\LinkList\Single\SingleList\SingleList\x64\Debug\SingleList.tlog\CL.read.1.tlog,6924,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\数据结构\b站孙老师版\代码(无乱码）\代码\代码\栈与队列\表达式求值\.DS_Store,6148,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\.git\logs\HEAD,5329,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\Study\C进阶\Contact\.vs\Contact.slnx\v18\DocumentLayout.backup.json,4248,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\Study\C进阶\动态内存管理\.vs\动态内存管理.slnx\v18\DocumentLayout.backup.json,3997,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\Study\C进阶\文件操作\.vs\文件操作.slnx\v18\DocumentLayout.backup.json,3497,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\数据结构\比特版\马\Sequence\build\CMakeFiles\4.3.0-rc1\CMakeCCompiler.cmake,3086,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\数据结构\比特版\马\Sequence\build\CMakeFiles\4.3.0-rc1\CompilerIdC\CompilerIdC.vcxproj,2798,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\数据结构\比特版\马\Sequence\build\demo.dir\Debug\demo.tlog\CustomBuild.read.1.tlog,1881,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\数据结构\比特版\马\Sequence\build\CMakeFiles\4.3.0-rc1\VCTargetsPath.vcxproj,1255,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\Study\C初阶\五.指针\.vs\五.指针.slnx\v18\DocumentLayout.backup.json,574,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\数据结构\比特版\马\Sequence\build\demo.dir\Debug\demo.tlog\CustomBuild.command.1.tlog,519,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\build\CMakeFiles\4.1.2-msvc8\CMakeSystem.cmake,395,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\build\CMakeFiles\4.3.0-rc1\CMakeSystem.cmake,395,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\数据结构\比特版\马\Sequence\build\CMakeFiles\4.3.0-rc1\CMakeSystem.cmake,395,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\build\CMakeFiles\4.1.2-msvc8\CMakeRCCompiler.cmake,240,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\Study\C进阶\Contact\Contact\build\x64\Debug\ZERO_CHECK\ZERO_CHECK.tlog\ZERO_CHECK.lastbuildstate,234,planned,dry_run
duplicate,quarantine,D:\C and C++\C++黑马学习\数据结构\比特版\马\Sequence\build\demo.dir\Debug\demo.tlog\demo.lastbuildstate,231,planned,dry_run
